"sort_best", "sort_price", "product", "price", "text_de", "text_en"
"005", "001", "AFX++ 1.2 Developer",1490, "", ""
"006", "002", "AFX++ 1.2 Subscription Update", 590, "",""
"011", "003", "Visual DBU 4.0 Lite", 39, "Bearbeiten/Drucken von DBF Tabellen", "Display/Report of DBF tables" 
"012", "004", "Visual DBU 4.0 Standard", 199, "Bearbeiten/Drucken von Tabellen (DBF, ADS, ODBC)", "Display/Report tables (DBF, ADS, ODBC" 
"013", "005", "Visual DBU Standard Subscription Update", 135, "", ""
"007", "006", "XClass++ 4.5 Standard", 440, "XClass++ mit ADSDBE-Serverklasse und Reportklassen (ohne AceServer++)", "XClass++ with ADSDBE-Server class and Report classes (AceServer++ not included!)" 
"008", "007", "XClass++ Standard Subscription Update",310, "", ""
"009", "008", "XClass++ 4.5 Developer", 510, "XClass++ mit ADSDBE-Serverklasse und Reportklassen und Sourcecode (ohne AceServer++)", "XClass++ with ADSDBE-Server class and Report classes and sourcecode (AceServer++ not included!)" 
"010", "009", "XClass++ Developer Subscription Update", 350, "", ""
"001", "010", "AdsClass++ 3.4 Standard", 310, "ohne Sourcecode", "w/o sourcecode" 
"002", "011", "AdsClass++ 3.4 Standard Subscription Update", 220, "",""
"003", "012", "AdsClass++ 3.4 Developer", 450, "mit Sourcecode", "with sourcecode" 
"004", "013", "AdsClass++ 3.4 Developer Subscription Update", 320, "", ""
"014", "014", "Alaska Xbase++ 1.90 ", 745, "Windows NT/95/98/2000", "Windows NT/95/98/2000" 
"015", "015", "Alaska XbToolsIII 1.90", 595, "Windows NT/95/98/2000", "Windows NT/95/98/2000" 
"016", "016", "Alaska ADSDBE", 345, "Windows NT/95/98/ME/2000", "Windows NT/95/98/ME/2000" 
"017", "017", "Alaska Xbase++ Subscription", 645, "Foundation w. support", "Foundation w. support" 
"018", "018", "Xbase++ Subscription", 1485, "Professional w. support", "Professional w. support" 
"019", "019", "MultiEdit 2008 with Evolve (per Email)", 127, "Xbase++ komfortabel programmieren, compilieren, debuggen aus dem Editor heraus!", "Editor to write convinient Xbase++ source. Compile, debug inside the editor!" 
"020", "020", "Update to MultiEdit 2008 (per Email)", 56, "", ""
