date,count,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.11,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.12,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.9,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.10,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b2,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.9,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.8,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b3,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.6,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b3pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.7,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b1,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.4,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.3,{718e30fb-e89b-41dd-9da7-e25a45638b28}/0.7,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b4pre,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.6,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0b2pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.1,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.12pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.5,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.2,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a8,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.12,{92650c4d-4b8e-4d2a-b7eb-24ecf4f6b63a}/2.0a1pre,{3550f703-e582-4d05-9a08-453d09bdfdc6}/3.0a1pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a9pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.13pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.10pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.11pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.7,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.6,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.12pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.3,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/0.3.6,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.9,{718e30fb-e89b-41dd-9da7-e25a45638b28}/0.3,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.0,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5,{718e30fb-e89b-41dd-9da7-e25a45638b28}/0.5,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a7,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a1,dlm@emusic.com/1.0.0.3Pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.4pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.13pre,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.11,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a4pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.5pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.0,{718e30fb-e89b-41dd-9da7-e25a45638b28}/0.8pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a4,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0b1,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.8pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.4,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.6pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.1,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a3,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.10,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a5,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a6,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.9pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.6.1,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0.0.6-g2,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.8,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/2.0b2,{3550f703-e582-4d05-9a08-453d09bdfdc6}/1.5.0.13,{3550f703-e582-4d05-9a08-453d09bdfdc6}/1.5.0.14,{3550f703-e582-4d05-9a08-453d09bdfdc6}/1.5.0.12,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.4,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a5pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a6pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.2,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.5,{a463f10c-3994-11da-9945-000d60ca027b}/0.7.12,{3550f703-e582-4d05-9a08-453d09bdfdc6}/1.5.0.2,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.13pre,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.11pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a8pre,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.10,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/3.0a2pre,{ec8030f7-c20a-464f-9b0e-13a3a9e97384}/1.5.0.11,{3550f703-e582-4d05-9a08-453d09bdfdc6}/2.0.0.7,S{3550f703-e582-4d05-9a08-453d09bdfdc6}/1.5.0.13pre]
2007-10-17,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-24,19,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-31,547,0,0,5,0,0,0,479,0,7,0,6,0,5,6,6,0,0,0,0,2,0,2,3,0,0,0,0,16,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-07,2499,0,0,2104,0,0,0,210,0,28,0,34,8,22,16,12,0,0,0,1,2,0,3,1,5,5,0,0,22,0,4,0,0,2,0,3,1,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-14,3426,0,0,2960,0,0,0,242,0,38,0,30,1,24,20,15,0,0,0,42,2,0,4,6,8,4,0,0,1,0,8,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-21,4441,0,0,3605,7,0,0,302,0,81,0,53,206,32,18,21,6,0,0,49,7,0,7,9,4,4,0,0,0,0,6,0,0,0,0,1,0,1,0,0,3,1,2,0,0,1,1,0,1,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-28,6374,1,0,1203,4513,0,66,186,0,50,0,40,124,22,26,23,10,0,3,42,13,0,10,9,4,1,1,0,0,0,5,2,1,1,0,0,1,0,0,0,1,2,1,0,3,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007-12-05,7625,5898,0,334,560,0,128,143,0,72,0,65,153,47,36,32,17,0,11,43,16,0,6,10,5,4,0,1,0,0,1,19,0,1,0,0,0,3,2,0,1,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2007-12-12,10589,8763,0,315,309,8,249,157,0,107,47,67,164,61,58,51,33,0,19,74,15,27,19,10,6,5,0,2,0,0,0,3,0,2,1,3,1,2,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-19,11532,9433,0,265,286,340,320,125,0,104,138,62,131,57,51,44,25,0,26,13,18,25,11,12,11,3,2,3,0,0,1,1,2,2,1,2,1,4,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2007-12-26,11754,9906,0,246,255,418,261,106,0,83,99,62,37,37,50,44,25,0,22,1,18,14,20,16,3,7,4,2,0,0,0,0,4,0,0,0,1,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-02,11197,9431,0,193,259,365,328,89,0,88,110,40,18,49,54,29,29,0,17,3,18,16,9,10,5,2,6,6,0,0,0,0,2,2,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-09,13311,11194,0,172,293,486,385,84,0,113,150,69,16,59,59,41,46,0,21,3,19,30,9,11,2,12,6,5,0,0,1,0,2,1,0,0,2,1,4,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2008-01-16,14414,12216,0,162,281,528,388,95,0,124,158,87,20,50,55,53,37,0,26,4,20,28,15,13,8,4,8,4,0,0,1,1,2,0,1,4,1,0,1,2,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008-01-23,14707,12424,0,138,280,584,446,87,0,124,151,75,13,46,47,50,58,0,24,1,28,27,22,10,4,8,6,7,0,0,1,0,0,1,5,0,1,0,1,1,5,3,0,3,0,1,1,2,0,1,1,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2008-01-30,15670,13125,1,142,322,610,525,99,0,137,206,85,23,64,51,52,53,0,28,2,20,28,19,10,11,5,5,8,0,0,0,0,4,1,2,3,3,1,2,1,0,3,0,3,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-06,15387,12752,29,96,342,591,584,80,56,126,117,64,5,43,51,46,47,154,44,5,20,29,21,18,4,6,8,6,0,0,1,2,0,2,6,0,2,2,2,0,0,1,0,0,1,0,3,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
