"ID","Type","Status","Priority","Milestone","Owner","Summary"
"1","Enhancement","Verified","Medium","Release_0.2.31","mrinal.kant","Support Thunderbird 3.0a1"
"2","Other","Verified","Medium","Release_0.2.31","mrinal.kant","change the mozdev.org links to sqlite-manager.googlecode.com"
"3","Defect","Accepted","High","----","mrinal.kant","Display of Int64 values"
"4","Enhancement","Verified","High","Release_0.2.31","mrinal.kant","Support toolkit@mozilla.org in install.rdf"
"5","Enhancement","Verified","Medium","Release_0.2.31","mrinal.kant","support Komodo IDE, Komodo Edit and OpenKomodo"
"6","Other","WontFix","Low","----","mrinal.kant","use the default ""about sqlite manager"" dialog"
"7","Defect","New","Medium","----","----","No button for exiting options menu within Sqlite manager on Mac OX 10.5"
"8","Defect","Verified","Critical","Release_0.2.32","----","Table Export creates zero length CSV file."
"9","Enhancement","Fixed","Medium","Release_0.2.42","----","Table import fails if table exists"
"10","Enhancement","Verified","Medium","Release_0.2.32","mrinal.kant","support Songbird 0.6pre"
"11","Other","Fixed","Low","Release_0.2.37","mrinal.kant","favicon for the extension"
"12","Defect","Fixed","Medium","Release_0.2.35","----","On row change, blank string reinterpreted as NULL"
"13","Defect","Verified","Critical","Release_0.2.33","----","Exporting XML in sqlite-manage for Firefox"
"14","Defect","New","Medium","----","----","Importing table there is no way to maintain a column as a PRIMARY KEY"
"15","Enhancement","Verified","Medium","Release_0.2.34","mrinal.kant","Support Firefox 3.0b5, 3.0pre and Gecko 1.9b5, 1.9pre"
"16","Other","WontFix","Medium","----","----","Can't open a database generated by a PHP Script"
"17","Enhancement","WontFix","Low","----","----","Don't allow NULL with Primary Key"
"18","Defect","New","Medium","----","----","Query time"
"19","Enhancement","Fixed","Medium","Release_0.2.42","----","provide option for hiding sqlite manager as menuitem in Firefox"
"20","Defect","Fixed","Medium","Release_0.2.37","----","When deleting a large number of rows, the confirmation dialog becomes very large, to the point where OK and Cancel buttons are not visible"
"21","Other","Fixed","Medium","Release_0.2.35","----","Exclude BLOB fields from the listing of data"
"22","Enhancement","Fixed","Medium","Release_0.2.35","mrinal.kant","Allow to save existing blob data and change a field's value to blob data"
"23","Defect","Fixed","Medium","Release_0.2.38","mrinal.kant","simplify the entry of data; implicitlyQuote preference does not look like a right way of doing things"
"24","Enhancement","Fixed","Medium","Release_0.2.37","mrinal.kant","It should be possible to add blobs while adding new record through ""Add New Record"" dialog"
"25","Defect","Fixed","Medium","Release_0.2.35","mrinal.kant","double-clicking on a record of a view in the browse tab opens a dialog titled ""edit record"""
"26","Defect","WontFix","Medium","----","----","LTRIM, RTRIM, and TRIM are not found"
"27","Defect","Fixed","Critical","Release_0.2.36","mrinal.kant","error on creating index if the indexed column name is a keyword"

